galaxy_id,n_points,chi2_baseline,chi2_gdm,positive_deficit_rows,baryonic_overshoot_rows,median_Vobs,median_Vbaseline,median_Vgdm,sum_deficit_mass_Msun,delta_chi2_gdm_minus_baseline
CamB,9,45.040389922287986,15.788733044588039,3,6,10.9,12.60563961090432,13.034297065818317,140699619.49912927,-29.251656877699947
D512-2,4,94.5001850655952,0.0,4,0,34.7,16.286682739973617,34.7,2129860866.8863103,-94.5001850655952
D564-8,6,236.10085808714896,0.0,6,0,20.85,8.953246424595093,20.85,1024004765.2706056,-236.10085808714896
D631-7,16,1693.1432428557766,2.6363675236943718,15,1,47.2,21.97599963597182,47.2,31761554149.935715,-1690.5068753320822
DDO064,14,180.84554440949236,0.0,14,0,37.9,17.09480488028004,37.9,5863286930.207793,-180.84554440949236
DDO154,12,70395.93204834746,0.0,12,0,43.3,16.67837079060754,43.3,14632929756.958412,-70395.93204834746
DDO161,31,11524.338461435425,0.0,31,0,55.0,31.84605784080661,55.0,120978565640.52724,-11524.338461435425
DDO168,10,1608.646173343166,0.0,10,0,48.0,25.274641718889356,48.0,9461589940.965982,-1608.646173343166
DDO170,8,4794.596828880253,0.0,8,0,57.1,27.58194777199258,57.1,33239830930.54726,-4794.596828880253
ESO079-G014,15,5927.188462785567,0.0,15,0,132.0,68.78013121534445,132.0,414676339975.72614,-5927.188462785567
ESO116-G012,15,4944.638747275468,0.0,15,0,102.0,48.685626215547444,102.0,138203658709.20343,-4944.638747275468
ESO444-G084,7,1994.7216843880324,0.0,7,0,52.8,18.76466226714459,52.8,9972846738.248419,-1994.7216843880324
ESO563-G021,30,7372.027061257692,30.686164500784486,27,3,310.5,165.73694582518567,310.5,8713719273174.282,-7341.340896756908
F561-1,6,21.899136718626192,0.0,6,0,47.35,34.65424753590256,47.35,5705199757.493181,-21.899136718626192
F563-1,17,539.0031402533596,0.0,17,0,97.4,32.14365489486222,97.4,349601352307.18616,-539.0031402533596
F563-V1,6,5.877555700743584,0.0,6,0,27.950000000000003,22.639028805715586,27.950000000000003,1280925891.72989,-5.877555700743584
F563-V2,10,226.6159864283833,0.0,10,0,102.9,31.92277543566783,102.9,120892137663.7735,-226.6159864283833
F565-V2,7,302.9964339919946,0.0,7,0,68.5,22.401393929842847,68.5,36929728697.76397,-302.9964339919946
F567-2,5,64.74291225640052,0.0,5,0,47.6,23.14755710652854,47.6,10304701053.381727,-64.74291225640052
F568-1,12,480.8878665534403,3.8104620467142216e-32,12,0,115.0,32.305301834294795,115.0,214595183770.06265,-480.8878665534403
F568-3,18,531.5581999834989,9.766625707825442e-31,18,0,83.9,34.040023982448375,83.9,215055956670.44882,-531.5581999834989
F568-V1,15,683.7108622397138,0.0,15,0,111.0,34.020939140476415,111.0,233893627130.0725,-683.7108622397138
F571-8,13,2150.8652042646213,65.27486398999231,9,4,105.0,60.65077864298199,105.0,204654221466.5036,-2085.590340274629
F571-V1,7,279.02710961673114,0.0,7,0,77.0,34.39023407887768,77.0,62886310434.652214,-279.02710961673114
F574-1,14,1580.4808265416991,0.0,14,0,90.95,36.68498403071536,90.95,152094638396.40915,-1580.4808265416991
F574-2,5,0.4366971142401154,1.176550828616484e-07,4,1,30.0,28.65937891860185,30.0,996236793.6087947,-0.4366969965850326
F579-V1,14,392.32093086168413,0.0,14,0,107.0,50.71485314103977,107.0,194485593890.36273,-392.32093086168413
F583-1,25,1264.9515254399073,8.405760322022019e-31,25,0,59.4,17.36596959573522,59.4,123477020168.05746,-1264.9515254399073
F583-4,12,458.7233489394477,2.1027529335337253e-30,12,0,58.5,29.08857959231905,58.5,33098204902.218372,-458.7233489394477
IC2574,34,13829.857075531063,0.0,34,0,43.65,22.89006730206995,43.65,95288937175.0397,-13829.857075531063
IC4202,32,4832.568482251777,758.5164216159998,29,3,240.5,165.153975612365,240.5,2853990586137.818,-4074.0520606357773
KK98-251,15,320.32667118542884,0.0,15,0,21.8,14.92230880259486,21.8,2616788378.622199,-320.32667118542884
NGC0024,29,2593.771884973251,0.0,29,0,92.4,42.38467234744183,92.4,144121100435.02423,-2593.771884973251
NGC0055,21,2501.15986520738,0.0,21,0,82.4,47.48153430545395,82.4,156454347366.25507,-2501.15986520738
NGC0100,21,1081.6603720984226,7.082032001310828e-30,21,0,77.8,36.096383475356646,77.79999999999998,125231640580.48181,-1081.6603720984226
NGC0247,26,9240.956648737436,5.253600201263762e-30,26,0,88.9,45.29704444921412,88.9,328736952840.44543,-9240.956648737436
NGC0289,28,4161.142927278398,0.0,28,0,175.0,94.15598431175553,175.0,4393010130255.6904,-4161.142927278398
NGC0300,25,4034.9988682811177,0.0,25,0,88.2,37.08311475591014,88.2,237612308259.06613,-4034.9988682811177
NGC0801,13,2540.6798834586,2.510194315992684,11,2,219.0,164.36613656711654,219.0,1678976101551.1836,-2538.1696891426077
NGC0891,18,2954.9524596140386,138.30257560295465,14,4,222.5,193.22650338325695,225.0,611696620806.7363,-2816.649884011084
NGC1003,36,21327.78212006536,0.0,36,0,103.5,45.08576426143941,103.5,1245697107965.0586,-21327.78212006536
NGC1090,24,9051.769618476894,2.805173783740247,22,2,165.0,102.92528722869866,165.0,1370755715899.1936,-9048.964444693154
NGC1705,14,1344.4124335750173,1.8432507163733355e-29,14,0,71.5,23.917174745163607,71.5,46187288412.568504,-1344.4124335750173
NGC2366,26,2336.060764827444,0.0,26,0,48.3,26.50775871793835,48.3,29905119372.76065,-2336.060764827444
NGC2403,73,319317.3362433957,0.0,73,0,114.0,64.94642137947248,114.0,1475720510183.1938,-319317.3362433957
NGC2683,11,689.2796674332354,0.0,11,0,172.0,108.95357671962861,172.0,835194572625.8397,-689.2796674332354
NGC2841,50,37314.68849884975,0.0,50,0,301.0,199.5975210198128,301.0,17283564611627.191,-37314.68849884975
NGC2903,34,25037.446570100597,251.63991510474557,29,5,189.5,141.7247812823389,189.5,1689040044117.1753,-24785.806654995853
NGC2915,30,1769.9207412433232,3.43585912890471,28,2,81.15,23.234776821880253,81.15,218698753854.99814,-1766.4848821144185
NGC2955,24,407.11490664568066,0.27470692546051767,22,2,255.5,223.37077568780938,255.5,1566710556932.3005,-406.84019972022014
NGC2976,27,447.08965194315107,0.3611295752564943,24,3,49.2,38.2977923645737,49.2,13325793915.473703,-446.7285223678946
NGC2998,13,7590.74021408451,0.0,13,0,206.0,124.5530513476085,206.0,1333145155044.6304,-7590.74021408451
NGC3109,25,3717.7155006018884,3.496336422032185e-30,25,0,50.6,19.02013932651388,50.6,56028327439.54187,-3717.7155006018884
NGC3198,43,32639.32322843948,1.0247423887171083,40,3,146.0,74.3763628446565,146.0,2191277936480.652,-32638.298486050764
NGC3521,41,621.172197511499,0.0,41,0,213.0,185.5730329277398,213.0,714862161645.675,-621.172197511499
NGC3726,12,577.1951541212143,0.0,12,0,159.0,116.66541342683291,159.0,664555349752.2618,-577.1951541212143
NGC3741,21,2576.163101584595,2.5842579970795416e-30,21,0,36.5,11.720311429309376,36.5,26697117715.43697,-2576.163101584595
NGC3769,12,645.7786633470861,0.07308753984492611,11,1,118.0,70.8251244032383,118.0,442727527411.1758,-645.7055758072412
NGC3877,13,413.6333851622523,14.48572376156732,11,2,162.0,130.13649199974617,162.0,165895752323.6943,-399.14766140068497
NGC3893,10,497.3630064369241,0.0,10,0,182.5,126.88796295952065,182.5,449049611436.5332,-497.3630064369241
NGC3917,17,2678.672020846451,0.05340669820225448,16,1,134.0,74.77813985383696,134.0,360700354754.92395,-2678.6186141482485
NGC3949,7,47.77888439628576,0.0,7,0,157.0,131.5572468547438,157.0,61775731173.28659,-47.77888439628576
NGC3953,8,491.25615884207014,0.0,8,0,219.5,165.47794182249288,219.5,352006963577.243,-491.25615884207014
NGC3972,10,856.5091486449041,0.0,10,0,113.0,68.24046137130182,113.0,106537554995.10571,-856.5091486449041
NGC3992,9,2587.008885721497,0.0,9,0,248.0,154.2270600445979,248.0,2441445448939.992,-2587.008885721497
NGC4010,12,675.2675497154571,0.0,12,0,109.5,72.52839568762474,109.5,126350646240.33055,-675.2675497154571
NGC4013,36,5514.702358436951,0.0,36,0,178.0,107.34286013157221,178.0,2962915827380.02,-5514.702358436951
NGC4051,7,78.67195061576913,0.0,7,0,153.0,125.75336397090933,153.0,75716376178.76218,-78.67195061576913
NGC4068,6,96.46518782755896,0.004444403223952638,5,1,26.45,18.86862437797973,26.45,1141236316.7329705,-96.460743424335
NGC4085,7,99.26939679912611,15.891017167136969,5,2,127.0,101.57928528986606,127.0,28804536393.112156,-83.37837963198915
NGC4088,12,148.4729424227521,5.035743414310769,9,3,171.0,146.1590836356238,171.104217477879,251552067633.94257,-143.43719900844135
NGC4100,24,3349.2802866257757,0.0,24,0,178.5,107.05826953835847,178.5,1370655212551.1812,-3349.2802866257757
NGC4138,7,153.43262006279937,0.0,7,0,162.0,103.90416064816654,162.0,257206760218.51193,-153.43262006279937
NGC4157,17,677.3999775170298,1.2363886379949227,15,2,185.0,131.82950724325718,185.0,1116143917183.3171,-676.1635888790349
NGC4183,23,1743.0121730754743,0.0,23,0,109.0,55.994676532684785,109.0,491275414345.10376,-1743.0121730754743
NGC4214,14,657.0470153610054,0.0,14,0,80.1,31.77444416381053,80.1,50178431459.62134,-657.0470153610054
NGC4217,19,818.7136405649571,523.3953520859939,11,8,179.0,164.88195116506841,188.6655365454963,381079378380.2499,-295.31828847896327
NGC4389,6,83.84210225036686,82.61216274051715,1,5,76.35,97.85036750444928,98.13966297316671,2205787671.9112935,-1.2299395098497143
NGC4559,32,2508.4331354979768,0.0,32,0,119.5,72.68220766807781,119.5,698494184516.3,-2508.4331354979768
NGC5005,18,40.70821412160042,5.192544673418177,13,5,260.0,234.9839096176188,260.0,387364035160.76825,-35.515669448182244
NGC5033,22,20890.45542690071,10.308528667175684,20,2,217.5,125.3447984134319,218.0,3141772056641.153,-20880.146898233535
NGC5055,28,56105.81339238738,20.069797180318634,22,6,189.0,148.659809604938,190.26407468521163,2646167366210.5234,-56085.74359520707
NGC5371,19,2554.527941364511,0.0,19,0,215.0,173.46743556068384,215.0,1704543433392.9333,-2554.527941364511
NGC5585,24,6956.404397218879,0.0,24,0,68.69999999999999,40.95635533223768,68.69999999999999,122038491005.74066,-6956.404397218879
NGC5907,19,20260.16891303868,0.0,19,0,218.0,135.9406033898629,218.0,3825117863612.3525,-20260.16891303868
NGC5985,33,24899.72624312027,0.0,33,0,291.0,153.50732953185005,291.0,7533316413830.888,-24899.72624312027
NGC6015,44,20112.827406236516,0.0,44,0,152.0,80.17008815343576,152.0,2260305144012.43,-20112.827406236516
NGC6195,23,684.8970712170129,4.515509134407657,20,3,247.0,224.92830920095406,247.0,1286113306908.8638,-680.3815620826052
NGC6503,31,51579.255448474185,0.0,31,0,116.0,55.12238837350937,116.0,918075941733.4937,-51579.255448474185
NGC6674,15,33882.57381502739,0.0,15,0,242.0,127.95471300425007,242.0,6029450398821.018,-33882.57381502739
NGC6789,4,87.2226218768187,0.0,4,0,38.3,16.320631850451548,38.3,812067788.67728,-87.2226218768187
NGC6946,58,9334.659618124844,34.252338386928514,55,3,167.0,127.66482031818913,168.5,1841606562849.5134,-9300.407279737916
NGC7331,36,8697.656375372999,82.38480092337771,28,8,239.0,188.47660411824307,239.5,4019851809048.4805,-8615.271574449622
NGC7793,46,682.2270238716352,1.8972917569567187,42,4,76.2,56.51397701352267,76.2,138944038964.5447,-680.3297321146784
NGC7814,18,7283.505496329016,3.0208732811559966,16,2,221.0,145.4009689655548,221.0,1208074927442.2393,-7280.48462304786
PGC51017,6,9.336180962391554,0.0,6,0,19.05,17.63393983496603,19.05,105367218.9141368,-9.336180962391554
UGC00128,22,134872.0095528085,0.0,22,0,127.5,47.299770404088626,127.5,1969630562824.8442,-134872.0095528085
UGC00191,9,7398.283753101341,0.0,9,0,57.6,26.016995406848963,57.6,30405263273.818798,-7398.283753101341
UGC00634,4,5902.7737463705,0.0,4,0,102.6,42.722920487597875,102.6,90894487780.958,-5902.7737463705
UGC00731,12,2334.4766248373166,0.0,12,0,66.35,23.29865812706695,66.35,62616497157.92705,-2334.4766248373166
UGC00891,5,8923.147750773915,0.0,5,0,54.15,24.051213067119917,54.15,13457581989.625452,-8923.147750773915
UGC01230,11,251.16351312471326,0.0,11,0,103.0,44.64654129941086,103.0,298362512290.6548,-251.16351312471326
UGC01281,25,610.0881941440707,1.3019401878459285e-30,25,0,37.4,16.922154118196655,37.400000000000006,21892444098.458237,-610.0881941440707
UGC02023,5,14.95145842460467,0.0,5,0,37.6,28.434134416225863,37.6,3511141649.325375,-14.95145842460467
UGC02259,8,5363.897120387677,0.0,8,0,83.25,35.18668204478104,83.25,51037393051.470505,-5363.897120387677
UGC02455,8,188.10450510133194,185.29971348886383,1,7,36.05,56.14299841389088,56.20814942187496,662055573.0066428,-2.804791612468108
UGC02487,17,48426.46121454379,0.0,17,0,364.0,182.4765068988334,364.0,14720214170645.191,-48426.46121454379
UGC02885,19,2505.1915726927805,0.0,19,0,287.0,169.55691634374577,287.0,9846047978778.445,-2505.1915726927805
UGC02916,43,4870.189152166936,750.8799486503925,32,11,211.0,181.03611496052383,215.0,1627501506646.0356,-4119.309203516544
UGC02953,115,279323.36993117887,0.4416356152510095,106,9,266.0,240.71281930964957,266.0,19909845639938.945,-279322.9282955636
UGC03205,48,26381.73117406294,0.21793542872685215,46,2,221.0,153.1233994447785,221.0,3787993044624.7427,-26381.513238634216
UGC03546,30,30473.905804664657,33.958303006869976,15,15,204.5,194.5100992924062,204.6825948615441,1186674604170.8616,-30439.947501657785
UGC03580,47,20411.653733205727,720.5447191302069,25,22,91.4,87.24341361959652,96.1,592400656228.3564,-19691.10901407552
UGC04278,25,1431.6929107316494,0.0,25,0,53.7,22.065955678374777,53.7,88404039760.42279,-1431.6929107316494
UGC04305,22,63.26879406444858,0.9149409340585087,17,5,33.1,28.85842537401392,33.216332326960725,2728324553.757229,-62.35385313039007
UGC04325,8,1829.8145782206182,0.0,8,0,89.4,40.78258757129194,89.4,36017592678.642426,-1829.8145782206182
UGC04483,8,240.04085378659306,0.0,8,0,20.8,12.028534825085297,20.8,399280311.6084736,-240.04085378659306
UGC04499,9,973.2384413889004,0.0,9,0,66.9,36.6476888766536,66.9,31882289063.1285,-973.2384413889004
UGC05005,11,165.99506352054257,0.0,11,0,72.5,37.35681129325681,72.5,195725513042.70493,-165.99506352054257
UGC05253,73,26195.3205108296,0.0,73,0,246.0,226.18514473766837,246.0,4623984254669.432,-26195.3205108296
UGC05414,6,380.35181333881036,0.0,6,0,48.9,29.713543347474783,48.9,6211052077.467328,-380.35181333881036
UGC05716,12,30647.392608623497,0.0,12,0,69.95,27.78035259218487,69.95,76365939985.84021,-30647.392608623497
UGC05721,23,1960.3539917146998,2.417397159390026e-30,23,0,78.3,28.671054218497094,78.3,75836274680.35835,-1960.3539917146998
UGC05750,11,157.36600770847173,0.0,11,0,49.8,23.01002498912159,49.8,60843707960.6409,-157.36600770847173
UGC05764,10,22018.043939200248,0.0,10,0,49.95,19.060944021746117,49.95,10003728437.935228,-22018.043939200248
UGC05829,11,263.2653277820576,1.971874968135136e-30,11,0,47.9,22.86916810905023,47.9,21902539591.621307,-263.2653277820576
UGC05918,8,246.37586607907633,0.0,8,0,38.099999999999994,15.568660707204586,38.099999999999994,6110456338.658564,-246.37586607907633
UGC05986,15,5308.726320393998,0.0,15,0,109.0,47.43250151531121,109.0,165546178352.0232,-5308.726320393998
UGC05999,5,392.4445439450861,0.0,5,0,91.2,42.0680549823735,91.2,77257563705.58789,-392.4445439450861
UGC06399,9,645.8223852493916,0.0,9,0,77.5,35.42645621565894,77.5,45647590528.51606,-645.8223852493916
UGC06446,17,1654.1110876010428,0.0,17,0,80.1,31.415552676978326,80.1,107953159633.19392,-1654.1110876010428
UGC06614,13,353.15566400097987,0.851625530931655,12,1,193.0,145.55397840663787,193.0,1737150760190.704,-352.3040384700482
UGC06628,7,4.609236030584588,0.15749665853328418,5,2,41.4,35.792905721665015,41.4,1802895782.7529516,-4.451739372051304
UGC06667,9,2018.406007131055,0.0,9,0,77.3,22.502835376903064,77.3,49967268149.182396,-2018.406007131055
UGC06786,45,58784.58760206961,0.0,45,0,218.0,152.712749042115,218.0,3465900749122.3257,-58784.58760206961
UGC06787,71,104185.43018739478,102.61116331673325,55,16,238.0,177.23074741703257,239.0,6490600296627.924,-104082.81902407805
UGC06818,8,201.124615077696,0.0,8,0,55.45,31.277741593060114,55.45,21683225676.659126,-201.124615077696
UGC06917,11,1417.006764141323,0.0,11,0,100.0,50.04471100925651,100.0,119033310693.20215,-1417.006764141323
UGC06923,6,183.3267521911743,0.0,6,0,75.7,46.02724161688707,75.7,15513577359.093775,-183.3267521911743
UGC06930,10,573.9044498080112,0.0,10,0,105.0,55.04925098728482,105.0,173228487336.98218,-573.9044498080112
UGC06973,9,656.661727410189,528.3247090498807,5,4,174.0,160.09127231051667,178.0,84188776107.7772,-128.33701836030832
UGC06983,17,1921.8246424331376,0.0,17,0,108.0,48.973066577456635,108.0,306116652405.30493,-1921.8246424331376
UGC07089,12,265.2821842595841,0.0,12,0,66.2,40.668113672212215,66.2,46925179712.20045,-265.2821842595841
UGC07125,13,1052.0192957065572,0.0,13,0,61.5,36.30381798103335,61.5,70135962095.81229,-1052.0192957065572
UGC07151,11,1287.3098110432472,0.0,11,0,67.2,38.65849583209363,67.2,24850654293.50998,-1287.3098110432472
UGC07232,4,72.74398967769565,0.0,4,0,30.700000000000003,19.92934179674309,30.700000000000003,435379425.63318,-72.74398967769565
UGC07261,7,238.68792971210934,0.0,7,0,69.6,36.43571942476229,69.6,23544604006.128937,-238.68792971210934
UGC07323,10,370.1265281054036,1.3483991462624375e-29,10,0,62.5,40.05003974268876,62.5,23872185625.832676,-370.1265281054036
UGC07399,10,3291.413859907484,0.0,10,0,93.4,32.35047197271862,93.4,65150397603.41417,-3291.413859907484
UGC07524,31,3195.841413373801,1.327734330943978e-29,31,0,70.2,31.190558667648133,70.2,162938078262.6235,-3195.841413373801
UGC07559,7,64.68628562193528,0.0,7,0,26.1,15.537147421582894,26.1,1186216337.356513,-64.68628562193528
UGC07577,9,5.350683887844524,0.0,9,0,10.7,10.103642907387414,10.7,127648252.92786878,-5.350683887844524
UGC07603,12,1421.4636847881945,0.0,12,0,60.25,23.217679766888082,60.25,18310939247.973106,-1421.4636847881945
UGC07608,8,200.02874151385578,1.1280495381444036e-30,8,0,53.1,18.371824187295537,53.099999999999994,15118196688.258997,-200.02874151385578
UGC07690,7,194.98169943718136,2.7178523981968637e-30,7,0,57.9,34.16241648361544,57.9,8284136100.499661,-194.98169943718136
UGC07866,7,51.847560434876975,0.0,7,0,26.0,15.213398699830357,26.0,1178074466.2176147,-51.847560434876975
UGC08286,17,7955.663805940957,0.0,17,0,79.3,31.752772319909326,79.3,90725423348.54718,-7955.663805940957
UGC08490,30,4436.133259837869,1.48315884678123e-29,30,0,78.5,30.414118709432508,78.5,190346091333.462,-4436.133259837869
UGC08550,11,2212.8170047782714,0.0,11,0,51.6,21.756839154619865,51.6,18211635469.81918,-2212.8170047782714
UGC08699,41,6535.558138669209,6.898520594959762,37,4,184.0,123.9112351645322,186.0,1492204639464.2996,-6528.65961807425
UGC08837,8,142.12659915624423,0.0,8,0,31.7,22.901380232632903,31.7,4129952314.393931,-142.12659915624423
UGC09037,22,749.6866090563851,58.42033483224496,19,3,147.0,108.60156760894691,147.0,832533172157.9852,-691.2662742241401
UGC09133,68,119660.49594000603,0.24047153297681073,64,4,279.0,211.96212678982138,279.0,18412329925731.953,-119660.25546847306
UGC09992,5,19.621204973446662,0.0,5,0,33.0,21.757109182977413,33.0,1615883756.4608421,-19.621204973446662
UGC10310,7,267.16061834807084,1.971874968135136e-30,7,0,69.2,33.201562463233564,69.2,24666053958.929626,-267.16061834807084
UGC11455,36,2835.2297025828884,36.14377379730645,33,3,262.5,192.79251548006488,262.5,4329147789593.7144,-2799.085928785582
UGC11557,12,26.137620731114133,7.357536912683125,7,5,64.9,61.27947801955578,64.9,18535808996.468185,-18.78008381843101
UGC11820,10,11946.909530837436,5.256882333834315e-29,10,0,51.875,21.52746665890032,51.875,58687605338.986404,-11946.909530837436
UGC11914,65,13401.553723749452,0.05523633124129881,63,2,288.0,232.27714334389424,288.0,1708303281220.4165,-13401.49848741821
UGC12506,31,2415.8371683371215,0.0,31,0,238.0,116.61010376463955,238.0,7755634579528.752,-2415.8371683371215
UGC12632,15,1827.6531048583145,0.0,15,0,65.5,26.146653705589173,65.5,71859267177.4113,-1827.6531048583145
UGC12732,16,2614.783818872871,1.3767112171776955e-29,16,0,79.8,31.34792436298588,79.8,176975008642.12457,-2614.783818872871
UGCA281,7,279.8311286343691,1.7313819593328103e-30,7,0,26.0,14.701066287858168,26.0,467168792.18583983,-279.8311286343691
